Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
Jane Against the World: Roe v. Wade and the Fight for Reproductive Rights,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
A Bike Like Sergio's,Banned in Classrooms,"Jones, Noah Z.",,Pennsylvania,Central York School District,Aug-21,Administrator
Those Shoes,Banned in Classrooms,"Jones, Noah Z.",,Pennsylvania,Central York School District,Aug-21,Administrator
Changing the Equation: 50+ US Black Women in STEM,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
A Quick & Easy Guide to They/Them Pronouns,Banned in Libraries and Classrooms,,,Tennessee,Collierville Schools,Feb-22,Administrator
Sasha Masha,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Channel Kindness: Stories of Kindness and Community,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Be Gay, Do Comics: Queer History, Memoir, and Satire from The Nib",Banned in Libraries and Classrooms,,,Tennessee,Collierville Schools,Feb-22,Administrator
Bruised,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Kings, Queens, and In-Betweens",Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Allies: Real Talk About Showing Up, Screwing Up, And Trying Again",Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Witch Owl Parliament (Clockwork Curandera Series),Banned Pending Investigation,"Robinson, Stacey; Duffy, Damian",,Tennessee,Collierville Schools,Feb-22,Administrator
Summer Bird Blue,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Will,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Benefits of Being an Octopus,Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
"Ziggy, Stardust and Me",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
"Daddy, There's A Noise Outside",Banned in Classrooms,"Dent, Joe; Anderson, Julie",,Pennsylvania,Central York School District,Aug-21,Administrator
Protest Movements: Then and Now,Banned in Libraries and Classrooms,,,Wisconsin,School District of Cadott Community,Mar-22,Formal Challenge
Lair of Dreams (The Diviners Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Into the Real,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
This Is Your Time,Banned in Libraries,,,Texas,Katy Independent School District,Jan-22,Administrator
This Is Your Time,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Black Rabbit Summer,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Black Rabbit Summer,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Imani's Moon,Banned in Classrooms,"Mitchell, Hazel",,Pennsylvania,Central York School District,Aug-21,Administrator
Who Is Malala Yousafzai? (Who was...? Series),Banned in Classrooms,"Thomson, Andrew",,Pennsylvania,Central York School District,Aug-21,Administrator
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned in Libraries,,,Missouri,Nixa Public Schools,Feb-22,Formal Challenge
The Key to You and Me,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Meaning of Birds,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Lola Levine and the Ballet Scheme (Lola Levine Series),Banned in Classrooms,"Dominguez, Angela",,Pennsylvania,Central York School District,Aug-21,Administrator
Lola Levine and the Halloween Scream (Lola Levine Series),Banned in Classrooms,"Dominguez, Angela",,Pennsylvania,Central York School District,Aug-21,Administrator
Lola Levine and the Vacation Dream (Lola Levine Series),Banned in Classrooms,"Dominguez, Angela",,Pennsylvania,Central York School District,Aug-21,Administrator
Lola Levine Is Not Mean! (Lola Levine Series),Banned in Classrooms,"Dominguez, Angela",,Pennsylvania,Central York School District,Aug-21,Administrator
Lola Levine Meets Jelly and Bean (Lola Levine Series),Banned in Classrooms,"Dominguez, Angela",,Pennsylvania,Central York School District,Aug-21,Administrator
Lola Levine: Drama Queen (Lola Levine Series),Banned in Classrooms,"Dominguez, Angela",,Pennsylvania,Central York School District,Aug-21,Administrator
Marisol McDonald Doesn't Match (Marisol McDonald Series),Banned Pending Investigation,"Palacios, Sara",,Florida,Duval County Public Schools,Jan-22,Administrator
Marisol McDonald Doesn't Match (Marisol McDonald Series),Banned in Classrooms,"Palacios, Sara",,Pennsylvania,Central York School District,Aug-21,Administrator
My Name Is Celia: The Life Of Celia Cruz / Me Llamo Celia: La Vida de Celia Cruz,Banned in Classrooms,"López, Rafael",,Pennsylvania,Central York School District,Aug-21,Administrator
"Pele, King of Soccer/Pele, El rey del futbol: Bilingual Spanish-English",Banned in Classrooms,"Gutierrez, Rudy",,Pennsylvania,Central York School District,Aug-21,Administrator
"Tito Puente, Mambo King/Tito Puente, Rey del Mambo",Banned in Classrooms,"López, Rafael",,Pennsylvania,Central York School District,Aug-21,Administrator
The Truth about Keeping Secrets,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Around Our Way on Neighbors' Day,Banned in Classrooms,"Riley-Webb, Charlotte",,Pennsylvania,Central York School District,Aug-21,Administrator
Crazy Horse's Vision,Banned Pending Investigation,"Nelson, S.D.",,Florida,Duval County Public Schools,Jan-22,Administrator
Eagle Song,Banned Pending Investigation,"Andreasen, Dan",,Florida,Duval County Public Schools,Jan-22,Administrator
Squanto's Journey: The Story of the First Thanksgiving,Banned in Classrooms,"Shed, Greg",,Pennsylvania,Central York School District,Aug-21,Administrator
The First Strawberries,Banned Pending Investigation,"Vojtech, Anna",,Florida,Duval County Public Schools,Jan-22,Administrator
Thirteen Moons on Turtle's Back: A Native American Year of Moons,Banned Pending Investigation,"Locker, Thomas",,Florida,Duval County Public Schools,Jan-22,Administrator
Two Roads,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Love Is for Losers,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Alex As Well,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
A Splash of Red: The Life and Art of Horace Pippin,Banned in Classrooms,"Sweet, Melissa",,Pennsylvania,Central York School District,Aug-21,Administrator
101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
"101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Who Are Venus and Serena Williams? (What was...? Series),Banned in Classrooms,"Thomson, Andrew",,Pennsylvania,Central York School District,Aug-21,Administrator
Who Was Jesse Owens? (Who was...? Series),Banned in Classrooms,"Copeland, Gregory",,Pennsylvania,Central York School District,Aug-21,Administrator
Eagle Feather,Banned Pending Investigation,Tom Two Arrows,,Florida,Duval County Public Schools,Jan-22,Administrator
Zenobia July,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
A Day's Work,Banned Pending Investigation,"Himler, Ronald",,Florida,Duval County Public Schools,Jan-22,Administrator
One Green Apple,Banned Pending Investigation,"Lewin, Ted",,Florida,Duval County Public Schools,Jan-22,Administrator
One Green Apple,Banned in Classrooms,"Lewin, Ted",,Pennsylvania,Central York School District,Aug-21,Administrator
Smoky Night,Banned in Classrooms,"Díaz, David",,Pennsylvania,Central York School District,Aug-21,Administrator
The Vast Fields of Ordinary,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
How to Be Ace: A Memoir of Growing Up Asexual,Banned Pending Investigation,,,Vermont,Canaan Schools,Mar-22,Formal Challenge
King & Kayla and the Case of Found Fred (King & Kayla Series),Banned in Classrooms,"Meyers, Nancy",,Pennsylvania,Central York School District,Aug-21,Administrator
King & Kayla and the Case of the Gold Ring (King & Kayla Series),Banned in Classrooms,"Meyers, Nancy",,Pennsylvania,Central York School District,Aug-21,Administrator
King & Kayla and the Case of the Lost Library Book (King & Kayla Series),Banned in Classrooms,"Meyers, Nancy",,Pennsylvania,Central York School District,Aug-21,Administrator
King & Kayla and the Case of the Lost Tooth (King & Kayla Series),Banned in Classrooms,"Meyers, Nancy",,Pennsylvania,Central York School District,Aug-21,Administrator
King & Kayla and the Case of the Missing Dog Treats (King & Kayla Series),Banned in Classrooms,"Meyers, Nancy",,Pennsylvania,Central York School District,Aug-21,Administrator
King & Kayla and the Case of the Mysterious Mouse (King & Kayla Series),Banned in Classrooms,"Meyers, Nancy",,Pennsylvania,Central York School District,Aug-21,Administrator
King & Kayla and the Case of the Secret Code (King & Kayla Series),Banned in Classrooms,"Meyers, Nancy",,Pennsylvania,Central York School District,Aug-21,Administrator
King & Kayla and the Case of the Unhappy Neighbor (King & Kayla Series),Banned in Classrooms,"Meyers, Nancy",,Pennsylvania,Central York School District,Aug-21,Administrator
I Am Enough,Banned in Classrooms,"Bobo, Keturah A.",,Pennsylvania,Central York School District,Aug-21,Administrator
I'm a Pretty Little Black Girl!,Banned in Classrooms,"Armstrong Parod, Claire",,Pennsylvania,Central York School District,Aug-21,Administrator
Ready or Not (All-American Girl Series),Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
My Hair is a Garden,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Felix Ever After,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Felix Ever After,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Hurricane Child,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
King and the Dragonflies,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
This Is Kind of an Epic Love Story,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
This Is Kind of an Epic Love Story,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Echo After Echo,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Echo After Echo,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Once & Future,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Sword in the Stars (Once & Future Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Brilliant Death (The Brilliant Death Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Storm of Life (The Brilliant Death Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Draw Me a Star,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
"Be Strong, Be Wise: The Young Adult’s Guide to Sexual Assault Awareness and Personal Safety",Banned in Libraries and Classrooms,,,Tennessee,Collierville Schools,Feb-22,Administrator
How Beautiful the Ordinary: Twelve Stories of Identity,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Love & Sex: Ten Stories of Truth,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
"My Best Friend, Maybe",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Graceling (Graceling Realm Series),Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
Graceling (Graceling Realm Series),Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
"Jane, Unlimited",Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Jane, Unlimited",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Teen Pregnancy,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
